LON,LAT,EDO,CLAVE,ESTACION,nov-19
-104.614722,28.882778,CHIH,NUEVAHOLANDA,"Nueva Holanda, Chih. INIFAP*",14.8
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga R�o Conchos, Chih. CILA*",17
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",15.2
-105.254167,26.546389,CHIH,PAGCH,"Pico del �guila, Chih.",69
-104.74,29.5,CHIH,Peguis,"Peguis, Chih. SGT*",20.5
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",98.9
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",37.9
-106.968889,29.948889,CHIH,RDOFLORESMAGON,"Ricardo Flores Mag�n, Chih. INIFAP*",15
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",136.2
-107.85,28.95,CHIH,TMCCH,"Tem�sachic, Chih.",45.7
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",44.5
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",158
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",1
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",68.1
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",39.3
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",30
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",67
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",1.1
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Dom�nguez, Chis.",0
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",71.4
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",0
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. OCFS*",13.1
-93.15,16.641944,CHIS,BOQCP,"Boquer�n, Chis.",1.7
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",65.8
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",12
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",3.9
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",2.6
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",89.2
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayab� OCFS, Chis.",137.4
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",10.2
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",7.9
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",12.9
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit�n, Chis. SMN*",13.2
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit�n, Chis.",11.7
-93.095278,16.828333,CHIS,CSUMIDERO,"Ca��n del Sumidero, Chis. SMN*",17
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",6.6
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",73.4
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",10.4
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",11.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",3
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",60.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",9.6
-92.829444,17.373056,CHIS,ESCALONCP,"El Escal�n SGT, Chis.",356
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",39.5
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla SMN, Chis.",1
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",9.6
-92.402778,14.997222,CHIS,HUECP,"Huehuet�n, Chis.",98.6
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",40.4
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt�n, Chis. SGT*",22.4
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",45
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio L�pez Ray�n, Chis. OCFS*",0.8
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",3.2
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",20.7
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",455.3
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",5.5
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",56
-93.598889,17.178611,CHIS,MALCP,"Nezahualc�yotl, Chis.",267.2
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",7.5
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",0.2
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",8.2
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",369.6
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",66.6
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",24
